Trap #,GPS
41,N 40°08.647' W 79°16.769'
42,N 40°08.633' W 79°16.727'
43,N 40°08.611' W 79°16.677'
44,N 40°08.595' W 79°16.614'
45,N 40°08.570' W 79°16.824'
46,N 40°08.574' W 79°16.778'
47,N 40°08.560' W 79°16.734'
48,N 40°08.552' W 79°16.680'
49,N 40°08.512' W 79°16.799'
50,N 40°08.521' W 79°16.840'
51,N 40°08.509' W 79°16.771'
52,N 40°08.505' W 79°16.717'
53,N 40°08.643' W 79°16.549'
54,N 40°08.615' W 79°16.518'
55,N 40°08.658' W 79°16.578'
56,N 40°08.677' W 79°16.607'
57,N 40°08.682' W 79°16.495'
58,N 40°08.658' W 79°16.465'
59,N 40°08.700' W 79°16.521'
60,N 40°08.740' W 79°16.555'
61,N 40°08.723' W 79°16.447'
62,N 40°08.698' W 79°16.412'
63,N 40°08.742' W 79°16.469'
64,N 40°08.779' W 79°16.498'
65,N 40°08.751' W 79°16.454'
